====================================================================================================
  TEMPORAL CV — RESULTS SUMMARY
====================================================================================================
  CV strategy  : Expanding-window TimeSeriesSplit  (k=5)
  Primary n    : 100 features per text field
  Models       : ['linear', 'ridge', 'lasso', 'randomforest', 'xgboost', 'mlp']
  Encodings    : ['only_structured', 'label', 'count', 'tfidf', 'clinicalbert', 'sentencebert']

----------------------------------------------------------------------------------------------------
  PER-FOLD RESULTS  (n=100, all models)
----------------------------------------------------------------------------------------------------
  Model          Encoding              Fold       MAE    SMAPE       R²     RMSE
  randomforest   Label                    1    33.362   28.328   0.7944   50.405
  randomforest   Label                    2    32.905   28.026   0.7888   48.622
  randomforest   Label                    3    34.520   28.412   0.7570   52.161
  randomforest   Label                    4    34.262   28.042   0.7721   50.753
  randomforest   Count                    0    33.642   27.587   0.7971   51.208
  randomforest   Count                    1    32.676   27.746   0.8016   49.517
  randomforest   Count                    2    31.926   27.069   0.7988   47.464
  randomforest   Count                    3    33.576   27.553   0.7653   51.263
  randomforest   Count                    4    33.918   27.765   0.7764   50.274
  randomforest   TF-IDF                   0    33.616   27.396   0.7956   51.400
  randomforest   TF-IDF                   1    32.555   27.633   0.8020   49.467
  randomforest   TF-IDF                   2    32.012   27.397   0.8012   47.176
  randomforest   TF-IDF                   3    33.740   27.843   0.7656   51.232
  randomforest   TF-IDF                   4    33.808   27.678   0.7772   50.184
  randomforest   ClinicalBERT             0    29.808   24.053   0.8257   47.468
  randomforest   ClinicalBERT             1    28.877   24.298   0.8319   45.586
  randomforest   ClinicalBERT             2    27.803   23.517   0.8441   41.779
  randomforest   ClinicalBERT             3    29.361   23.904   0.8105   46.057
  randomforest   ClinicalBERT             4    29.354   23.614   0.8176   45.399
  randomforest   Sentence-BERT            0    29.378   23.574   0.8288   47.038
  randomforest   Sentence-BERT            1    28.455   23.970   0.8361   45.007
  randomforest   Sentence-BERT            2    27.690   23.465   0.8451   41.643
  randomforest   Sentence-BERT            3    29.220   23.854   0.8121   45.861
  randomforest   Sentence-BERT            4    29.297   23.621   0.8190   45.225
  xgboost        Structured only          0    37.330   30.647   0.7654   55.066
  xgboost        Structured only          1    35.378   29.789   0.7754   52.691
  xgboost        Structured only          2    34.813   29.328   0.7672   51.049
  xgboost        Structured only          3    35.769   29.244   0.7416   53.786
  xgboost        Structured only          4    36.046   29.259   0.7503   53.128
  xgboost        Label                    0    33.219   26.898   0.7974   51.178
  xgboost        Label                    1    30.932   25.807   0.8141   47.932
  xgboost        Label                    2    31.143   25.976   0.8023   47.049
  xgboost        Label                    3    31.888   25.692   0.7800   49.630
  xgboost        Label                    4    31.949   25.536   0.7877   48.983
  xgboost        Count                    0    32.014   26.029   0.8101   49.545
  xgboost        Count                    1    30.325   25.477   0.8212   47.017
  xgboost        Count                    2    29.809   25.026   0.8197   44.928
  xgboost        Count                    3    30.853   24.975   0.7918   48.283
  xgboost        Count                    4    31.054   24.831   0.7989   47.676
  xgboost        TF-IDF                   0    32.319   26.471   0.8093   49.648
  xgboost        TF-IDF                   1    30.265   25.347   0.8215   46.973
  xgboost        TF-IDF                   2    29.834   25.085   0.8211   44.754
  xgboost        TF-IDF                   3    30.645   24.779   0.7927   48.177
